Id,CDSEXE,MTREV,NBENF,CDSITFAM,DTADH,CDTMT,DTDEM,CDCATCL
2,2,0,0,M,1968-02-21,2,1900-12-31,10
3,3,1524,0,M,1970-01-20,2,1900-12-31,10
5,2,1722,0,G,1970-06-16,2,1900-12-31,10
6,3,0,0,D,1971-05-18,2,1900-12-31,10
7,3,0,0,A,1971-08-19,0,1900-12-31,10
9,4,4300,0,C,1977-04-18,2,1900-12-31,10
11,3,1903,0,G,1980-03-14,2,1900-12-31,10
12,2,0,3,M,1980-10-06,2,1900-12-31,10
14,3,0,0,A,1981-01-27,0,1900-12-31,10
15,2,0,0,A,1981-02-10,0,1900-12-31,10
16,3,0,2,M,1981-09-24,2,1900-12-31,10
17,4,0,0,C,1981-11-06,2,1900-12-31,10
18,3,1738,1,M,1982-09-09,2,1900-12-31,10
19,4,0,0,C,1983-07-27,2,1900-12-31,10
20,2,0,0,A,1969-11-24,0,1900-12-31,10
21,2,4153,1,M,1975-06-05,2,1900-12-31,10
24,2,2145,1,M,1978-03-21,2,1900-12-31,10
25,3,0,0,M,1978-04-12,2,1900-12-31,10
26,2,0,0,A,1978-09-19,0,1900-12-31,10
27,2,0,0,M,1978-09-20,2,1900-12-31,10
28,3,0,0,A,1978-12-14,0,1900-12-31,10
29,3,0,0,M,1979-02-01,2,1900-12-31,10
30,3,0,0,A,1979-03-16,0,1900-12-31,10
31,2,1935,1,C,1979-06-01,2,1900-12-31,10
32,2,1560,1,M,1979-10-15,2,1900-12-31,10
33,2,2506,2,M,1979-11-14,2,1900-12-31,10
34,2,2379,2,M,1979-11-27,2,1900-12-31,10
35,4,2653,0,C,1980-01-08,2,1900-12-31,10
36,3,0,0,A,1980-03-21,0,1900-12-31,10
37,3,1829,0,B,1980-07-09,2,1900-12-31,10
38,2,0,0,M,1980-07-18,2,1900-12-31,10
39,3,0,0,D,1980-09-24,2,1900-12-31,10
40,3,1911,2,M,1981-03-16,2,1900-12-31,10
41,3,0,0,A,1981-11-16,0,1900-12-31,10
42,3,0,0,A,1982-06-30,0,1900-12-31,10
43,2,2280,0,M,1982-12-22,2,1900-12-31,10
44,3,2462,2,E,1983-02-08,2,1900-12-31,10
45,2,0,0,M,1965-12-30,2,1900-12-31,10
46,2,0,0,V,1966-02-14,2,1900-12-31,10
47,2,0,0,M,1968-11-25,2,1900-12-31,10
48,3,1691,0,A,1970-06-12,0,1900-12-31,10
49,3,1715,0,M,1973-11-15,2,1900-12-31,10
50,2,1870,1,M,1975-05-26,2,1900-12-31,10
51,3,0,0,M,1976-10-18,2,1900-12-31,10
52,2,1946,0,M,1976-12-29,0,1900-12-31,10
53,3,0,0,M,1979-09-17,0,1900-12-31,10
54,2,0,0,M,1980-11-27,2,1900-12-31,10
56,2,2300,0,C,1981-10-21,2,1900-12-31,10
57,2,0,0,A,1982-10-11,0,1900-12-31,10
60,2,0,0,M,1972-02-15,2,1900-12-31,10
61,2,0,0,M,1972-03-01,2,1900-12-31,10
62,3,2100,0,M,1972-07-10,2,1900-12-31,10
63,3,1830,0,V,1974-06-05,0,1900-12-31,10
64,2,0,0,A,1974-12-11,0,1900-12-31,10
67,3,0,0,M,1977-09-08,2,1900-12-31,10
68,3,1766,0,M,1978-01-23,2,1900-12-31,10
