Id,CDSEXE,MTREV,NBENF,CDSITFAM,DTADH,CDTMT,DTDEM,CDMOTDEM,CDCATCL,AGEAD,agedem,adh
4,2,0,0,A,1970-06-15,0,2007-01-01,DC,21,39,76,37
8,2,0,0,B,1972-07-19,0,2001-02-14,DV,21,39,68,29
10,3,0,0,A,1980-02-06,0,1998-05-25,DV,21,38,56,18
13,3,0,0,M,1980-12-15,0,2005-12-21,DV,21,44,69,25
22,2,0,0,A,1975-12-01,0,2007-01-01,DC,10,31,63,32
23,2,0,0,M,1976-03-15,0,2007-01-01,DC,10,37,68,31
55,2,0,0,M,1980-12-16,0,2006-11-22,DV,21,39,65,26
58,2,0,0,A,1982-11-25,2,1993-01-27,DC,10,38,49,11
59,2,0,0,A,1967-05-10,0,2007-01-01,DC,10,54,94,40
65,2,0,0,A,1976-01-22,2,2007-01-01,DC,21,63,94,31
66,3,0,0,A,1976-12-24,0,2001-01-25,DV,21,41,66,25
81,2,0,0,A,1973-04-13,0,2002-07-12,DV,21,44,73,29
85,4,0,0,C,1975-02-03,0,1991-07-10,DV,10,28,44,16
93,2,0,0,A,1978-03-13,0,2007-01-01,DC,10,42,71,29
95,3,0,0,D,1979-06-14,0,2002-03-29,DA,21,20,43,23
99,3,0,0,A,1979-11-26,0,2007-02-26,RA,21,27,55,28
102,3,0,0,A,1980-10-27,2,2007-01-01,DC,10,36,63,27
104,2,0,0,A,1980-12-09,0,1999-11-08,DV,21,24,43,19
108,2,0,0,D,1982-02-08,0,2005-01-11,DV,21,40,63,23
115,2,2050,0,M,1963-08-29,0,2007-01-01,DC,21,29,73,44
128,2,2600,2,M,1976-12-13,2,2007-01-01,DC,21,27,58,31
132,3,0,0,A,1973-06-15,0,1992-06-17,DV,10,30,49,19
138,2,0,0,M,1978-11-27,0,2007-01-01,DC,10,69,98,29
141,3,0,0,V,1979-12-26,0,2007-01-01,DC,21,47,75,28
152,2,0,0,A,1980-10-21,0,2007-01-01,DC,10,21,48,27
166,2,0,0,A,1975-03-06,2,1992-06-24,DC,10,45,62,17
167,3,0,0,D,1975-11-04,0,2003-04-11,DV,21,35,63,28
179,4,0,0,C,1979-01-23,0,1991-12-26,DC,10,66,78,12
194,3,0,0,A,1978-11-29,0,2006-02-27,DV,21,29,57,28
200,2,0,0,A,1981-01-26,0,2007-01-01,DC,21,42,68,26
207,3,0,0,A,1967-02-06,0,1993-03-17,DC,10,29,55,26
220,3,1793,0,M,1971-02-20,2,2001-01-31,DV,21,41,71,30
228,2,0,0,A,1971-10-07,0,2007-01-01,DC,21,37,73,36
239,3,0,0,M,1972-02-08,0,2006-10-31,DV,21,34,68,34
246,4,0,0,C,1972-06-22,0,2007-01-03,DV,21,28,63,35
247,2,0,0,A,1972-06-23,0,2000-12-04,DV,21,50,78,28
253,4,0,0,C,1972-11-08,2,2007-01-01,DC,10,33,68,35
262,2,0,0,A,1974-03-26,0,2005-09-23,DV,10,36,67,31
263,4,0,0,C,1974-05-07,0,2007-01-01,DC,10,44,77,33
264,3,0,0,A,1974-05-07,0,2000-01-07,DV,21,34,60,26
295,3,0,0,A,1977-04-13,0,2004-09-23,DV,21,44,71,27
307,3,0,0,A,1972-06-26,0,2006-06-19,DV,21,48,82,34
309,3,0,0,A,1972-07-04,0,2007-01-01,DC,21,50,85,35
322,3,0,0,A,1978-01-10,0,2007-01-01,DC,10,36,65,29
325,3,0,0,A,1978-07-27,0,2007-02-16,DV,21,29,58,29
332,2,0,0,A,1979-12-03,0,2007-01-01,DC,21,68,96,28
353,2,0,0,M,1984-01-06,0,2007-01-22,DV,21,26,49,23
357,2,0,0,A,1976-02-10,0,2007-01-01,DC,21,45,76,31
360,2,0,0,A,1979-07-23,0,1995-11-29,DV,10,29,45,16
363,2,0,0,A,1983-02-21,0,1992-01-08,DC,10,51,60,9
369,2,0,0,A,1981-02-06,2,2007-01-01,DC,10,65,91,26
397,2,2064,1,U,1982-11-10,0,2004-12-24,DV,21,25,47,22
402,4,0,0,C,1983-09-20,0,2007-01-01,DC,10,34,58,24
413,2,0,0,A,1981-08-20,0,2002-01-22,DV,21,36,57,21
417,2,0,0,A,1972-10-05,0,1994-10-20,DC,10,53,75,22
447,3,0,0,A,1971-11-08,0,2004-12-10,DV,21,43,76,33
460,2,0,0,A,1980-04-02,0,2002-06-14,DV,21,45,67,22
484,3,0,0,A,1980-03-19,0,2004-05-19,DV,21,41,65,24
489,2,0,0,U,1981-03-03,0,2001-11-21,DV,21,25,45,20
497,2,0,0,A,1977-06-21,0,2007-01-01,DC,10,45,75,30
502,2,0,0,A,1981-05-05,0,1992-08-05,DC,10,47,58,11
528,3,0,0,A,1967-03-03,2,1995-05-11,DC,10,66,94,28
530,4,0,0,C,1978-05-31,0,2002-11-08,DV,21,26,50,24
535,2,0,0,A,1979-11-05,0,1993-05-26,DV,10,33,47,14
547,2,0,0,A,1980-03-18,0,2007-01-01,DC,21,31,58,27
550,2,0,0,A,1980-04-29,0,1997-03-20,DV,21,33,50,17
573,3,0,0,D,1983-03-09,0,2000-06-05,DV,21,41,58,17
581,3,0,0,A,1975-12-08,2,1998-03-30,DV,21,39,62,23
596,2,0,0,A,1971-11-10,0,2001-05-02,DV,21,51,81,30
598,2,0,0,A,1974-06-22,0,2007-01-01,DC,10,54,87,33
608,3,0,0,M,1981-05-21,0,2006-01-19,DV,21,22,47,25
