Id,CDSEXE,MTREV,NBENF,CDSITFAM,DTADH,CDTMT,DTDEM,CDMOTDEM,CDCATCL,AGEAD,agedem,adh,CATAGEAD,CATadh,CATagedem,is_adh
1,2,0,0,A,1972-04-04,0,2003-06-25,DV,21,33,64,31,31_40,31_40,61_70,demissionnaire
2,2,0,0,A,1972-04-12,0,2005-07-06,DV,21,55,88,33,51_60,31_40,71plus,demissionnaire
3,2,0,0,B,1972-07-19,0,2001-02-14,DV,21,39,68,29,31_40,21_30,61_70,demissionnaire
4,3,0,0,M,1972-08-28,0,2006-03-09,DV,21,29,63,34,21_30,31_40,61_70,demissionnaire
5,2,0,0,A,1972-11-06,0,1999-03-22,DV,21,45,72,27,41_50,21_30,71plus,demissionnaire
6,2,0,0,A,1972-12-28,0,2000-01-07,DV,21,28,56,28,21_30,21_30,51_60,demissionnaire
7,2,0,0,A,1973-01-25,0,2003-09-02,DV,21,40,70,30,31_40,21_30,61_70,demissionnaire
8,3,0,0,A,1973-09-26,0,2004-07-16,DV,21,42,73,31,41_50,31_40,71plus,demissionnaire
9,3,0,0,M,1974-08-13,0,2006-05-31,DV,21,36,68,32,31_40,31_40,61_70,demissionnaire
10,2,0,0,A,1974-09-16,0,2006-10-17,DV,21,29,61,32,21_30,31_40,61_70,demissionnaire
11,3,0,0,A,1974-09-16,0,2006-03-09,DV,21,28,60,32,21_30,31_40,51_60,demissionnaire
12,3,0,0,A,1974-12-02,0,2003-09-02,DV,21,39,68,29,31_40,21_30,61_70,demissionnaire
13,3,0,0,A,1976-04-14,0,2004-05-04,DV,21,33,61,28,31_40,21_30,61_70,demissionnaire
14,3,0,0,M,1976-04-29,0,2004-06-09,DV,21,26,54,28,21_30,21_30,51_60,demissionnaire
15,3,0,0,A,1976-06-10,0,2003-07-03,DV,21,53,80,27,51_60,21_30,71plus,demissionnaire
16,4,0,0,C,1976-08-03,0,2002-10-15,DV,21,32,58,26,31_40,21_30,51_60,demissionnaire
17,2,0,0,M,1976-08-09,0,2004-12-08,DV,21,37,65,28,31_40,21_30,61_70,demissionnaire
18,3,0,0,A,1976-10-05,0,2004-04-26,DV,21,35,63,28,31_40,21_30,61_70,demissionnaire
19,3,0,0,A,1977-04-04,0,2001-10-24,DV,21,35,59,24,31_40,21_30,51_60,demissionnaire
20,2,0,0,A,1977-10-10,0,1999-05-19,DV,21,29,51,22,21_30,21_30,51_60,demissionnaire
21,3,0,0,A,1977-12-05,0,2001-05-16,DV,21,28,52,24,21_30,21_30,51_60,demissionnaire
22,2,0,0,A,1978-06-09,0,2001-01-25,DV,21,38,61,23,31_40,21_30,61_70,demissionnaire
23,3,0,0,A,1978-06-29,0,2003-04-18,DV,21,58,83,25,51_60,21_30,71plus,demissionnaire
24,2,0,0,A,1978-10-12,0,2004-05-12,DV,21,40,66,26,31_40,21_30,61_70,demissionnaire
25,3,0,0,A,1978-11-21,0,2005-06-29,DV,21,28,55,27,21_30,21_30,51_60,demissionnaire
26,3,2683,enfants,D,1978-12-18,0,2006-10-23,DV,21,29,57,28,21_30,21_30,51_60,demissionnaire
27,3,0,0,A,1979-01-18,0,2000-10-11,DV,21,59,80,21,51_60,21_30,71plus,demissionnaire
28,4,0,0,C,1979-03-01,0,2003-06-27,DV,21,29,53,24,21_30,21_30,51_60,demissionnaire
29,2,0,0,A,1979-04-30,0,2000-07-06,DA,40,33,54,21,31_40,21_30,51_60,demissionnaire
30,2,0,0,A,1979-05-30,0,2001-10-22,DV,21,33,55,22,31_40,21_30,51_60,demissionnaire
31,3,0,0,A,1979-12-06,0,2003-08-05,DV,21,35,59,24,31_40,21_30,51_60,demissionnaire
32,4,0,0,C,1980-01-09,0,2005-10-19,DV,21,23,48,25,21_30,21_30,41_50,demissionnaire
33,4,0,0,C,1980-01-11,0,2006-01-23,DV,21,39,65,26,31_40,21_30,61_70,demissionnaire
34,3,0,0,A,1980-02-06,0,2001-07-02,DV,21,31,52,21,31_40,21_30,51_60,demissionnaire
35,3,0,0,A,1980-02-29,0,2002-12-06,DV,21,32,54,22,31_40,21_30,51_60,demissionnaire
36,3,0,0,A,1980-03-31,0,2002-05-17,RA,21,55,77,22,51_60,21_30,71plus,demissionnaire
37,3,0,0,A,1980-05-08,0,2005-10-19,DV,21,39,64,25,31_40,21_30,61_70,demissionnaire
38,2,2600,0,M,1980-06-02,0,2006-12-14,DV,21,34,60,26,31_40,21_30,51_60,demissionnaire
39,2,0,0,A,1980-06-02,0,1999-08-10,DV,21,30,49,19,21_30,11_20,41_50,demissionnaire
40,3,0,0,A,1980-06-11,2,2001-03-07,DV,21,53,74,21,51_60,21_30,71plus,demissionnaire
41,2,0,0,A,1980-06-17,0,2001-08-09,DV,21,48,69,21,41_50,21_30,61_70,demissionnaire
42,3,0,0,A,1980-06-17,0,1999-04-19,DV,21,42,61,19,41_50,11_20,61_70,demissionnaire
43,2,0,0,A,1980-06-17,0,2003-06-30,DV,21,43,66,23,41_50,21_30,61_70,demissionnaire
