Id;CDSEXE;MTREV;NBENF;CDSITFAM;DTADH;CDTMT;CDDEM;DTDEM;ANNEE_DEM;CDMOTDEM;CDCATCL;AGEAD;rangagead;agedem;rangagedem;rangdem;adh;rangadh;LBL_rangagead;ID_rangagead;LBL_agedem;ID_agedem;LBL_rangadh;ID_rangadh
1;2;0;0;A;04/04/1972;0;2;25/06/2003;2003;DV;21;33;3  31-35;64;9  61-65;5  2003;31;7  30-34;31-35;3;61-65;9;30-34;7
2;2;0;0;A;12/04/1972;0;2;06/07/2005;2005;DV;21;55;7  51-55;88;b  71-+;7  2005;33;7  30-34;51-55;7;71-+;b;30-34;7
3;2;0;0;B;19/07/1972;0;2;14/02/2001;2001;DV;21;39;4  36-40;68;a  66-70;3  2001;29;6  25-29;36-40;4;66-70;a;25-29;6
4;3;0;0;M;28/08/1972;0;2;09/03/2006;2006;DV;21;29;2  26-30;63;9  61-65;8  2006;34;7  30-34;26-30;2;61-65;9;30-34;7
5;2;0;0;A;06/11/1972;0;2;22/03/1999;1999;DV;21;45;5  41-45;72;b  71-+;1  1999;27;6  25-29;41-45;5;71-+;b;25-29;6
6;2;0;0;A;28/12/1972;0;2;07/01/2000;2000;DV;21;28;2  26-30;56;8  56-60;2  2000;28;6  25-29;26-30;2;56-60;8;25-29;6
7;2;0;0;A;25/01/1973;0;2;02/09/2003;2003;DV;21;40;4  36-40;70;a  66-70;5  2003;30;7  30-34;36-40;4;66-70;a;30-34;7
8;3;0;0;A;26/09/1973;0;2;16/07/2004;2004;DV;21;42;5  41-45;73;b  71-+;6  2004;31;7  30-34;41-45;5;71-+;b;30-34;7
9;3;0;0;M;13/08/1974;0;2;31/05/2006;2006;DV;21;36;4  36-40;68;a  66-70;8  2006;32;7  30-34;36-40;4;66-70;a;30-34;7
10;2;0;0;A;16/09/1974;0;2;17/10/2006;2006;DV;21;29;2  26-30;61;9  61-65;8  2006;32;7  30-34;26-30;2;61-65;9;30-34;7
11;3;0;0;A;16/09/1974;0;2;09/03/2006;2006;DV;21;28;2  26-30;60;8  56-60;8  2006;32;7  30-34;26-30;2;56-60;8;30-34;7
12;3;0;0;A;02/12/1974;0;2;02/09/2003;2003;DV;21;39;4  36-40;68;a  66-70;5  2003;29;6  25-29;36-40;4;66-70;a;25-29;6
13;3;0;0;A;14/04/1976;0;2;04/05/2004;2004;DV;21;33;3  31-35;61;9  61-65;6  2004;28;6  25-29;31-35;3;61-65;9;25-29;6
14;3;0;0;M;29/04/1976;0;2;09/06/2004;2004;DV;21;26;2  26-30;54;7  51-55;6  2004;28;6  25-29;26-30;2;51-55;7;25-29;6
15;3;0;0;A;10/06/1976;0;2;03/07/2003;2003;DV;21;53;7  51-55;80;b  71-+;5  2003;27;6  25-29;51-55;7;71-+;b;25-29;6
16;4;0;0;C;03/08/1976;0;2;15/10/2002;2002;DV;21;32;3  31-35;58;8  56-60;4  2002;26;6  25-29;31-35;3;56-60;8;25-29;6
17;2;0;0;M;09/08/1976;0;2;08/12/2004;2004;DV;21;37;4  36-40;65;9  61-65;6  2004;28;6  25-29;36-40;4;61-65;9;25-29;6
18;3;0;0;A;05/10/1976;0;2;26/04/2004;2004;DV;21;35;3  31-35;63;9  61-65;6  2004;28;6  25-29;31-35;3;61-65;9;25-29;6
19;3;0;0;A;04/04/1977;0;2;24/10/2001;2001;DV;21;35;3  31-35;59;8  56-60;3  2001;24;5  20-24;31-35;3;56-60;8;20-24;5
20;2;0;0;A;10/10/1977;0;2;19/05/1999;1999;DV;21;29;2  26-30;51;7  51-55;1  1999;22;5  20-24;26-30;2;51-55;7;20-24;5
21;3;0;0;A;05/12/1977;0;2;16/05/2001;2001;DV;21;28;2  26-30;52;7  51-55;3  2001;24;5  20-24;26-30;2;51-55;7;20-24;5
22;2;0;0;A;09/06/1978;0;2;25/01/2001;2001;DV;21;38;4  36-40;61;9  61-65;3  2001;23;5  20-24;36-40;4;61-65;9;20-24;5
23;3;0;0;A;29/06/1978;0;2;18/04/2003;2003;DV;21;58;8  56-+;83;b  71-+;5  2003;25;6  25-29;56-+;8;71-+;b;25-29;6
24;2;0;0;A;12/10/1978;0;2;12/05/2004;2004;DV;21;40;4  36-40;66;a  66-70;6  2004;26;6  25-29;36-40;4;66-70;a;25-29;6
25;3;0;0;A;21/11/1978;0;2;29/06/2005;2005;DV;21;28;2  26-30;55;7  51-55;7  2005;27;6  25-29;26-30;2;51-55;7;25-29;6
