Id,CDSEXE,MTREV,NBENF,CDSITFAM,DTADH,CDTMT,CDCATCL,AGEAD,ageactu,adh,CATAGEAD,CATageactu,CATadh,is_adh
2,2,0,0,M,1968-02-21,2,10,29,68,39,21_30,61_70,31_40,adherent
3,3,1524,0,M,1970-01-20,2,10,29,66,37,21_30,61_70,31_40,adherent
5,2,1722,0,G,1970-06-16,2,10,35,72,37,31_40,71plus,31_40,adherent
6,3,0,0,D,1971-05-18,2,10,34,70,36,31_40,61_70,31_40,adherent
7,3,0,0,A,1971-08-19,0,10,37,73,36,31_40,71plus,31_40,adherent
9,4,4300,0,C,1977-04-18,2,10,30,60,30,21_30,51_60,21_30,adherent
11,3,1903,0,G,1980-03-14,2,10,36,63,27,31_40,61_70,21_30,adherent
12,2,0,enfants,M,1980-10-06,2,10,27,54,27,21_30,51_60,21_30,adherent
14,3,0,0,A,1981-01-27,0,10,26,52,26,21_30,51_60,21_30,adherent
15,2,0,0,A,1981-02-10,0,10,36,62,26,31_40,61_70,21_30,adherent
16,3,0,enfants,M,1981-09-24,2,10,24,50,26,21_30,41_50,21_30,adherent
17,4,0,0,C,1981-11-06,2,10,29,55,26,21_30,51_60,21_30,adherent
18,3,1738,enfants,M,1982-09-09,2,10,27,52,25,21_30,51_60,21_30,adherent
19,4,0,0,C,1983-07-27,2,10,29,53,24,21_30,51_60,21_30,adherent
20,2,0,0,A,1969-11-24,0,10,45,83,38,41_50,71plus,31_40,adherent
21,2,4153,enfants,M,1975-06-05,2,10,29,61,32,21_30,61_70,31_40,adherent
24,2,2145,enfants,M,1978-03-21,2,10,38,67,29,31_40,61_70,21_30,adherent
25,3,0,0,M,1978-04-12,2,10,30,59,29,21_30,51_60,21_30,adherent
26,2,0,0,A,1978-09-19,0,10,38,67,29,31_40,61_70,21_30,adherent
27,2,0,0,M,1978-09-20,2,10,27,56,29,21_30,51_60,21_30,adherent
28,3,0,0,A,1978-12-14,0,10,35,64,29,31_40,61_70,21_30,adherent
29,3,0,0,M,1979-02-01,2,10,34,62,28,31_40,61_70,21_30,adherent
30,3,0,0,A,1979-03-16,0,10,31,59,28,31_40,51_60,21_30,adherent
31,2,1935,enfants,C,1979-06-01,2,10,35,63,28,31_40,61_70,21_30,adherent
32,2,1560,enfants,M,1979-10-15,2,10,21,49,28,21_30,41_50,21_30,adherent
33,2,2506,enfants,M,1979-11-14,2,10,23,51,28,21_30,51_60,21_30,adherent
34,2,2379,enfants,M,1979-11-27,2,10,31,59,28,31_40,51_60,21_30,adherent
35,4,2653,0,C,1980-01-08,2,10,24,51,27,21_30,51_60,21_30,adherent
36,3,0,0,A,1980-03-21,0,10,34,61,27,31_40,61_70,21_30,adherent
37,3,1829,0,B,1980-07-09,2,10,43,70,27,41_50,61_70,21_30,adherent
38,2,0,0,M,1980-07-18,2,10,19,46,27,11_20,41_50,21_30,adherent
39,3,0,0,D,1980-09-24,2,10,40,67,27,31_40,61_70,21_30,adherent
40,3,1911,enfants,M,1981-03-16,2,10,31,57,26,31_40,51_60,21_30,adherent
41,3,0,0,A,1981-11-16,0,10,58,84,26,51_60,71plus,21_30,adherent
42,3,0,0,A,1982-06-30,0,10,47,72,25,41_50,71plus,21_30,adherent
43,2,2280,0,M,1982-12-22,2,10,37,62,25,31_40,61_70,21_30,adherent
44,3,2462,enfants,E,1983-02-08,2,10,24,48,24,21_30,41_50,21_30,adherent
45,2,0,0,M,1965-12-30,2,10,38,80,42,31_40,71plus,41_50,adherent
46,2,0,0,V,1966-02-14,2,10,39,80,41,31_40,71plus,41_50,adherent
47,2,0,0,M,1968-11-25,2,10,33,72,39,31_40,71plus,31_40,adherent
48,3,1691,0,A,1970-06-12,0,10,33,70,37,31_40,61_70,31_40,adherent
49,3,1715,0,M,1973-11-15,2,10,36,70,34,31_40,61_70,31_40,adherent
50,2,1870,enfants,M,1975-05-26,2,10,26,58,32,21_30,51_60,31_40,adherent
51,3,0,0,M,1976-10-18,2,10,27,58,31,21_30,51_60,31_40,adherent
52,2,1946,0,M,1976-12-29,0,10,26,57,31,21_30,51_60,31_40,adherent
53,3,0,0,M,1979-09-17,0,10,59,87,28,51_60,71plus,21_30,adherent
54,2,0,0,M,1980-11-27,2,10,33,60,27,31_40,51_60,21_30,adherent
56,2,2300,0,C,1981-10-21,2,10,23,49,26,21_30,41_50,21_30,adherent
57,2,0,0,A,1982-10-11,0,10,43,68,25,41_50,61_70,21_30,adherent
60,2,0,0,M,1972-02-15,2,10,34,69,35,31_40,61_70,31_40,adherent
61,2,0,0,M,1972-03-01,2,10,35,70,35,31_40,61_70,31_40,adherent
62,3,2100,0,M,1972-07-10,2,10,25,60,35,21_30,51_60,31_40,adherent
63,3,1830,0,V,1974-06-05,0,10,41,74,33,41_50,71plus,31_40,adherent
64,2,0,0,A,1974-12-11,0,10,43,76,33,41_50,71plus,31_40,adherent
67,3,0,0,M,1977-09-08,2,10,47,77,30,41_50,71plus,21_30,adherent
68,3,1766,0,M,1978-01-23,2,10,26,55,29,21_30,51_60,21_30,adherent
69,4,2012,enfants,C,1978-01-31,2,10,19,48,29,11_20,41_50,21_30,adherent
70,2,2956,enfants,E,1978-02-27,2,10,28,57,29,21_30,51_60,21_30,adherent
71,2,0,0,S,1979-01-25,2,10,32,60,28,31_40,51_60,21_30,adherent
72,3,0,0,A,1980-06-06,0,10,57,84,27,51_60,71plus,21_30,adherent
73,2,2193,0,M,1980-07-18,2,10,40,67,27,31_40,61_70,21_30,adherent
74,3,0,0,M,1980-10-01,2,10,35,62,27,31_40,61_70,21_30,adherent
75,2,0,0,M,1972-09-18,2,10,36,71,35,31_40,71plus,31_40,adherent
76,3,0,0,M,1974-01-02,2,10,13,46,33,11_20,41_50,31_40,adherent
77,2,1828,0,M,1978-03-08,2,10,31,60,29,31_40,51_60,21_30,adherent
78,4,1842,0,C,1982-02-22,2,10,36,61,25,31_40,61_70,21_30,adherent
79,2,0,0,A,1971-05-24,0,10,34,70,36,31_40,61_70,31_40,adherent
80,3,0,0,A,1972-05-23,0,10,58,93,35,51_60,71plus,31_40,adherent
82,2,0,0,M,1973-07-19,2,10,27,61,34,21_30,61_70,31_40,adherent
