CDSEXE,MTREV,NBENF,CDSITFAM,DTADH,CDTMT,CDCATCL,AGEAD,adh,CATAGEAD,CATadh,is_adh
2,0,0,M,2004-12-09,0,21,28,1,21_30,0_10,demissionnaire
2,1488,enfants,C,1993-03-08,2,10,25,14,21_30,11_20,adherent
3,0,0,A,1996-10-18,0,21,44,8,41_50,0_10,demissionnaire
2,0,0,A,1996-01-25,0,21,33,8,31_40,0_10,demissionnaire
2,0,0,A,1998-03-16,0,21,49,6,41_50,0_10,demissionnaire
2,0,0,A,1994-02-14,0,21,45,7,41_50,0_10,demissionnaire
2,0,0,A,1994-06-16,0,21,29,10,21_30,0_10,demissionnaire
3,0,0,A,1995-02-21,0,21,26,4,21_30,0_10,demissionnaire
3,0,0,A,1995-11-10,0,21,47,9,41_50,0_10,demissionnaire
3,0,0,A,1982-01-12,0,21,45,20,41_50,11_20,demissionnaire
2,0,0,U,2002-11-21,0,21,28,2,21_30,0_10,demissionnaire
3,0,0,A,1973-02-23,0,21,28,26,21_30,21_30,demissionnaire
2,0,0,A,2006-03-16,0,23,61,1,61_70,0_10,adherent
4,0,0,C,2000-07-11,0,10,26,7,21_30,0_10,adherent
3,0,0,M,1989-05-30,0,21,50,16,41_50,11_20,demissionnaire
2,0,0,M,1992-03-10,2,10,35,15,31_40,11_20,adherent
2,0,0,A,2002-03-11,0,21,49,5,41_50,0_10,adherent
2,0,0,A,1993-04-19,0,23,33,12,31_40,11_20,demissionnaire
2,0,0,A,1972-03-09,0,21,48,30,41_50,21_30,demissionnaire
2,0,0,A,1990-04-02,0,21,24,10,21_30,0_10,demissionnaire
3,0,0,A,1978-01-12,0,21,66,21,61_70,21_30,demissionnaire
2,1500,0,U,2004-02-26,2,10,29,3,21_30,0_10,adherent
3,0,0,A,1993-12-16,0,21,26,12,21_30,11_20,demissionnaire
2,0,0,A,2004-11-04,0,23,33,3,31_40,0_10,adherent
3,0,0,M,1989-07-21,2,10,31,18,31_40,11_20,adherent
2,0,0,D,1999-09-15,0,21,25,1,21_30,0_10,demissionnaire
3,0,0,A,1990-09-07,0,21,63,10,61_70,0_10,demissionnaire
4,0,0,C,1984-11-15,0,10,23,23,21_30,21_30,adherent
4,0,0,C,2000-10-05,0,21,9,7,0_10,0_10,adherent
2,0,0,A,1973-01-13,0,21,38,28,31_40,21_30,demissionnaire
3,0,0,B,2003-11-12,2,21,34,1,31_40,0_10,demissionnaire
2,0,0,A,1999-10-21,0,25,42,8,41_50,0_10,adherent
3,1049,enfants,A,1991-04-15,0,21,30,12,21_30,11_20,demissionnaire
2,0,0,M,1996-09-12,0,21,60,9,51_60,0_10,demissionnaire
4,0,0,A,1995-11-24,0,21,23,7,21_30,0_10,demissionnaire
4,1600,0,C,2002-09-30,2,10,25,5,21_30,0_10,adherent
2,0,0,M,1992-05-18,2,21,27,10,21_30,0_10,demissionnaire
3,1223,0,M,1999-10-01,0,21,50,5,41_50,0_10,demissionnaire
4,0,0,C,1994-01-06,0,21,30,5,21_30,0_10,demissionnaire
4,0,0,C,1976-01-19,0,21,41,25,41_50,21_30,demissionnaire
2,0,0,M,1990-06-19,2,10,52,17,51_60,11_20,adherent
2,0,0,A,2002-08-20,0,21,46,0,41_50,0_10,demissionnaire
3,0,0,V,1986-09-19,0,21,51,15,51_60,11_20,demissionnaire
4,0,0,C,1999-10-19,0,21,24,5,21_30,0_10,demissionnaire
3,2736,0,M,1978-12-21,0,10,29,29,21_30,21_30,adherent
4,0,0,C,1992-11-26,0,21,33,14,31_40,11_20,demissionnaire
3,0,0,A,1982-04-01,0,21,32,21,31_40,21_30,demissionnaire
4,0,0,C,2000-08-24,0,21,29,1,21_30,0_10,demissionnaire
3,0,0,M,2001-05-30,0,25,50,2,41_50,0_10,demissionnaire
2,0,0,A,1981-03-17,0,21,23,24,21_30,21_30,demissionnaire
3,1000,0,A,1973-01-30,0,10,32,34,31_40,31_40,adherent
4,0,0,A,2001-10-26,0,21,44,1,41_50,0_10,demissionnaire
2,0,0,C,2001-06-28,0,21,22,4,21_30,0_10,demissionnaire
4,2248,enfants,C,1987-02-18,0,10,31,20,31_40,11_20,adherent
3,0,0,M,1978-12-13,0,21,40,28,31_40,21_30,demissionnaire
3,2000,enfants,P,2006-05-17,0,25,35,1,31_40,0_10,adherent
2,1814,enfants,U,1983-03-24,2,10,23,24,21_30,21_30,adherent
3,1800,0,D,1980-06-27,2,10,32,27,31_40,21_30,adherent
3,0,0,A,1999-05-27,0,21,32,0,31_40,0_10,demissionnaire
2,0,0,A,1999-10-06,0,21,52,0,51_60,0_10,demissionnaire
3,0,0,M,1985-12-19,2,10,21,22,21_30,21_30,adherent
4,0,0,A,2001-03-22,0,21,28,0,21_30,0_10,demissionnaire
3,0,0,A,1995-09-13,0,21,48,11,41_50,11_20,demissionnaire
2,0,0,A,1980-10-07,0,21,22,23,21_30,21_30,demissionnaire
3,617,enfants,G,1989-01-09,0,21,27,18,21_30,11_20,adherent
3,0,enfants,M,1993-03-09,2,10,22,14,21_30,11_20,adherent
4,0,0,C,1990-11-06,0,21,28,16,21_30,11_20,demissionnaire
2,4100,enfants,M,1976-12-28,0,10,28,31,21_30,31_40,adherent
2,2320,enfants,A,1976-09-03,0,21,39,23,31_40,21_30,demissionnaire
3,0,0,A,1981-03-31,0,21,32,20,31_40,11_20,demissionnaire
